topic_number,topic_name,link,probability,content_item_id
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-safety-update/paracetamol-updated-dosing-for-children-to-be-introduced"",""Paracetamol: updated dosing for children to be introduced"")",0.000,003c1d94-b929-4bfb-b1a9-02d44b1460d9
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-device-alerts/national-patient-safety-alert-potential-risk-of-underdosing-with-calcium-gluconate-in-severe-hyperkalaemia-natpsa-slash-2023-slash-007-slash-mhra"",""National Patient Safety Alert: Potential risk of underdosing with calcium gluconate in severe hyperkalaemia (NatPSA/2023/007/MHRA)"")",0.000,008b3278-8a27-4c4c-aacd-1c2882975645
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-device-alerts/denzapine-50mg-ml-oral-suspension-company-led-recall"",""Denzapine 50mg/ml Oral Suspension - company led recall"")",0.000,008e8eb5-a653-4278-89b4-f02cf38482df
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-safety-update/colchicine-extremely-toxic-in-overdose"",""Colchicine: extremely toxic in overdose"")",0.000,00a81073-141e-461b-81a1-bf46cb0f32f7
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-safety-update/tolvaptan-samsca-risk-of-liver-injury"",""Tolvaptan (Samsca▼): risk of liver injury"")",0.000,00fe32e9-05aa-47b2-b140-dd0c8f883ba1
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-safety-update/atezolizumab-tecentriqv-and-other-immune-stimulatory-anti-cancer-drugs-risk-of-severe-cutaneous-adverse-reactions-scars"",""Atezolizumab (Tecentriq▼) and other immune-stimulatory anti-cancer drugs: risk of severe cutaneous adverse reactions (SCARs)"")",0.000,0246e54d-324c-4a79-8188-6107a25120d7
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-safety-update/co-proxamol-withdrawal-reminder-to-prescribers"",""Co-proxamol withdrawal: reminder to prescribers"")",0.000,036de9e1-6b1d-4298-80c2-210ccd88689d
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-safety-update/methylphenidate-new-patient-information"",""Methylphenidate: new patient information"")",0.000,0464d5f9-ce6f-4eb4-aaeb-4113d2f38078
-1,Outlier,"=HYPERLINK(""https://gov.uk/drug-device-alerts/company-led-medicines-recall-sun-pharma-uk-ltd-gemcitabine-10mg-slash-ml-solution-for-infusion-pl-31750-slash-0062-single-dose-infusion-bag-2000mg-slash-200ml-clmr-23-a-slash-06"",""Company led medicines recall: Sun Pharma UK Ltd, Gemcitabine 10mg/ml Solution for Infusion PL 31750/0062 (Single dose Infusion bag, 2000mg/200ml), CLMR(23)A/06"")",0.000,0473faa8-1ada-4fa3-a992-8fb1d8e4ec0c
-1,Outlier,"=HYPERLINK(""https://gov.uk/government/news/batches-of-novopen-echo-novopen-5-recalled-due-to-risk-of-fault"",""Batches of NovoPen Echo & NovoPen 5 recalled due to risk of fault"")",0.000,05073f04-a14a-4ce6-860e-149e332759b0
